Date,Close,High,Low,Open,Volume
2023-03-06,252.84852600097656,256.04764510840005,251.972460138509,252.41541208786404,24109800
2023-03-07,250.17112731933594,253.65571496313456,249.4230309703386,252.287461805782,21473200
2023-03-08,249.7281951904297,250.55504096083303,246.8834402028071,250.06286871370176,17340200
2023-03-09,248.3697967529297,255.49644089849014,247.6413764588662,251.8150022990688,26653400
2023-03-10,244.6981658935547,248.8324092868265,243.72367456979757,247.1491888076624,28333900
2023-03-13,249.94473266601562,253.87227229864152,241.8829494842542,243.52680285893817,33339700
2023-03-14,256.7071533203125,256.9827685172578,251.8543282071445,252.73039401598515,33620300
2023-03-15,261.2843933105469,262.3081199500826,255.15191657038366,255.90988102264944,46028000
2023-03-16,271.87591552734375,272.23026506647096,259.1581735865581,261.0579509308683,54768800
2023-03-17,275.0552673339844,278.8942033534369,271.9939715722537,273.90360154804773,69527400
2023-03-20,267.96807861328125,273.1358865548913,265.6253342067157,272.643714369976,43466600
2023-03-21,269.49383544921875,270.69473693831935,265.3005182751805,270.57662040493403,34558700
2023-03-22,268.027099609375,276.6401116479534,267.9188061230501,269.11970728887826,34873300
2023-03-23,273.31304931640625,276.65981401873677,270.89157068422304,273.58866452624983,36610900
2023-03-24,276.1775207519531,276.2365790138879,270.9703303661151,272.8996370155353,28172000
2023-03-27,272.0531311035156,277.05358782445194,271.20657923339166,276.1086255385682,26840200
2023-03-28,270.9211120605469,271.8168690429862,267.79087413033056,271.4723425051547,21878600
2023-03-29,276.11846923828125,276.73861104356007,274.0513399006214,274.59271732819036,25087000
2023-03-30,279.6029968261719,280.00658160899906,277.07325471108254,279.7802016370314,25053400
2023-03-31,283.7864990234375,284.7413143620683,278.5694853421409,279.288067620429,32766000
2023-04-03,282.7332763671875,283.7569729997611,279.5046276679569,282.0343701563342,24883300
2023-04-04,282.68402099609375,285.90284644844036,281.1976813612138,282.7332562405726,25824300
2023-04-05,279.8884582519531,282.65446336729383,278.4907061502915,281.37482777678053,22064800
2023-04-06,287.0347900390625,287.5072560547923,277.6146083330159,278.7761273414218,29770300
2023-04-10,284.8594665527344,285.0661704846128,280.2527115064888,284.68226171417155,23103000
2023-04-11,278.402099609375,281.5028083472433,277.230757468165,281.27639833215596,27276600
2023-04-12,279.0517883300781,282.51669989305793,277.5457425781535,280.331454092245,27403400
2023-04-13,285.30242919921875,285.36148747077925,278.73686767897084,279.15027557989436,24222700
2023-04-14,281.6603088378906,283.96367102936733,279.2486531464038,282.5068305661248,20987900
2023-04-17,284.2786865234375,287.0348692146032,281.6800326007046,285.3910006419592,23836200
2023-04-18,283.85540771484375,287.1923498602999,282.51671366556474,287.00532200932577,20161800
2023-04-19,283.93414306640625,284.52472565141113,280.08535300849246,281.51263430866226,17150300
2023-04-20,281.6307067871094,284.5050050905055,280.6168334549822,280.7841851877688,23244400
2023-04-21,281.2862548828125,281.78825008105144,278.6285130858529,280.54799661030216,21676400
2023-04-24,277.3587341308594,280.4889724167193,274.3564954739549,277.67373157493995,26611000
2023-04-25,271.1081237792969,277.19136442128627,271.05888853978684,275.1340884128389,45772200
2023-04-26,290.745849609375,294.88010880187886,288.1471955762277,292.0550447042532,64599200
2023-04-27,300.0577087402344,300.42194142413604,290.62770202416357,291.336431237466,46462600
2023-04-28,302.4496765136719,304.0935148750173,298.5615040334557,299.2505571443168,36446700
2023-05-01,300.7762756347656,303.7686910534892,300.3726908217299,302.1642048581886,21294100
2023-05-02,300.628662109375,304.3396301187959,299.15214533599857,302.9418777289602,26404400
2023-05-03,299.6343994140625,303.7784805128606,299.3292550837356,301.81964496531594,22360800
2023-05-04,300.628662109375,302.9418777289602,298.65012002031114,301.4456548397933,22519900
2023-05-05,305.7865295410156,307.08587113629045,299.5064085369893,300.93371968874146,28181200
2023-05-08,303.8179016113281,305.34365349819655,301.29798227952045,305.27474217870144,21318600
2023-05-09,302.1937255859375,305.18614092145225,301.51452555847186,303.1780699689536,21340800
2023-05-10,307.42059326171875,308.09979329228884,302.85325092434726,303.78836006860274,30078000
2023-05-11,305.2550048828125,306.2492022660023,301.46530325501186,305.24518186660805,31680200
2023-05-12,304.1329040527344,305.78659550903757,301.8000125269122,305.68815505667965,19758100
2023-05-15,304.6152038574219,305.04831778842316,302.77448467056973,304.26085429922443,16336500
2023-05-16,306.8594970703125,308.79865663517415,304.9793957630767,304.9793957630767,26730300
2023-05-17,309.75982666015625,310.1840128280389,306.54383920821226,308.07292647953415,24315000
2023-05-18,314.2187805175781,314.73177784456124,309.483610472281,310.2826700411064,27276000
2023-05-19,314.04119873046875,314.44566578774686,312.0977999996557,312.46279877914503,27529500
2023-05-22,316.84283447265625,318.2337976929915,313.7156584548846,314.29768758586613,24115700
2023-05-23,311.0028381347656,318.36209222067146,310.9929635378551,315.7084147228856,30797200
2023-05-24,309.61187744140625,312.2260866800328,308.3886015273957,310.4799990237755,23384900
2023-05-25,321.5188903808594,322.4856374964896,315.6788189832587,318.87505739171115,43301700
2023-05-26,328.3947448730469,328.8978374792633,319.5064041956886,319.6444980132169,36630600
2023-05-30,326.7374267578125,331.20625373329415,326.0567419114066,330.7031610986949,29503100
2023-05-31,323.9555358886719,331.4035709455312,322.9098221088515,327.8028654551653,45950600
2023-06-01,328.0888977050781,329.02608115085206,320.33505191131786,321.5287039010863,26773900
2023-06-02,330.8708190917969,332.94246713059334,328.05929890382134,329.7363544841506,25864000
2023-06-05,331.4035339355469,333.98814914784583,330.14082001100866,330.6932554714019,21307100
