Datetime,Close,High,Low,Open,Volume
2025-03-04 14:30:00+00:00,919.5999755859375,929.1599731445312,913.6400146484375,922.2349853515625,225229
2025-03-04 14:35:00+00:00,918.0,922.1900024414062,915.5615234375,919.5999755859375,60194
2025-03-04 14:40:00+00:00,917.030029296875,922.4400024414062,917.0,917.72998046875,68955
2025-03-04 14:45:00+00:00,917.0999755859375,918.6998901367188,915.0,917.030029296875,86148
2025-03-04 14:50:00+00:00,916.47998046875,918.27001953125,915.0,918.2650146484375,61304
2025-03-04 14:55:00+00:00,918.6649780273438,921.614990234375,916.1900024414062,916.9400024414062,53999
2025-03-04 15:00:00+00:00,920.3099975585938,921.9000244140625,915.2899780273438,917.8400268554688,56957
2025-03-04 15:05:00+00:00,920.0999755859375,921.4500122070312,919.010009765625,921.0750122070312,47297
2025-03-04 15:10:00+00:00,919.6926879882812,921.9000244140625,918.9600219726562,921.9000244140625,27130
2025-03-04 15:15:00+00:00,917.25,920.969970703125,916.3599853515625,920.0549926757812,50413
2025-03-04 15:20:00+00:00,918.010009765625,919.0499877929688,915.489990234375,916.586181640625,46024
2025-03-04 15:25:00+00:00,919.0650024414062,919.72998046875,916.030029296875,917.9749755859375,64392
2025-03-04 15:30:00+00:00,917.9199829101562,919.6500244140625,916.5701293945312,919.0650024414062,45594
2025-03-04 15:35:00+00:00,918.5714721679688,919.489990234375,915.2999877929688,918.0,32818
2025-03-04 15:40:00+00:00,917.75,918.7000122070312,916.0,918.5700073242188,29001
2025-03-04 15:45:00+00:00,914.0349731445312,917.1099853515625,912.8099975585938,917.0,43514
2025-03-04 15:50:00+00:00,910.9199829101562,914.3699951171875,908.3126220703125,914.030029296875,44812
2025-03-04 15:55:00+00:00,906.9099731445312,910.9199829101562,904.6701049804688,910.9199829101562,70145
2025-03-04 16:00:00+00:00,909.3300170898438,910.25,905.6799926757812,907.0700073242188,30385
2025-03-04 16:05:00+00:00,905.4197998046875,909.8599243164062,905.4197998046875,909.3300170898438,34873
2025-03-04 16:10:00+00:00,908.239990234375,908.4000244140625,902.7901000976562,905.9000244140625,63819
2025-03-04 16:15:00+00:00,908.5,909.47998046875,905.4603271484375,908.7000122070312,27993
2025-03-04 16:20:00+00:00,906.5635986328125,909.3699951171875,905.760009765625,908.7100219726562,37499
2025-03-04 16:25:00+00:00,906.4099731445312,906.6900024414062,904.2901000976562,905.6300048828125,36808
2025-03-04 16:30:00+00:00,908.4199829101562,908.6500244140625,906.344970703125,906.6900024414062,30902
2025-03-04 16:35:00+00:00,905.75,908.5,905.75,907.4400024414062,17052
2025-03-04 16:40:00+00:00,911.0,911.0,906.30810546875,906.30810546875,22869
2025-03-04 16:45:00+00:00,911.75,912.0499877929688,909.8016967773438,911.27001953125,35913
2025-03-04 16:50:00+00:00,913.0999755859375,913.8699951171875,911.1300048828125,911.1300048828125,45375
2025-03-04 16:55:00+00:00,911.2869873046875,913.4000244140625,910.1900024414062,912.760009765625,41087
2025-03-04 17:00:00+00:00,912.5880126953125,913.1849975585938,910.35009765625,911.2750244140625,20931
2025-03-04 17:05:00+00:00,910.4849853515625,913.4603881835938,910.0,913.218017578125,34717
2025-03-04 17:10:00+00:00,910.6500244140625,911.375,910.010009765625,910.4849853515625,11532
2025-03-04 17:15:00+00:00,914.27001953125,915.2550048828125,911.1950073242188,911.1950073242188,25246
2025-03-04 17:20:00+00:00,914.2899780273438,915.0,913.2600708007812,914.4199829101562,15285
2025-03-04 17:25:00+00:00,913.9500122070312,914.8200073242188,912.742919921875,914.2349853515625,17857
2025-03-04 17:30:00+00:00,913.6099853515625,913.9500122070312,911.7821044921875,913.3499755859375,14659
2025-03-04 17:35:00+00:00,913.4765014648438,914.489990234375,912.4600830078125,913.75,33915
2025-03-04 17:40:00+00:00,911.9450073242188,914.0150146484375,911.6099853515625,913.4299926757812,14594
2025-03-04 17:45:00+00:00,911.1300048828125,912.489990234375,911.0,911.8400268554688,12875
2025-03-04 17:50:00+00:00,911.0,911.5700073242188,909.5399780273438,911.0,17329
2025-03-04 17:55:00+00:00,910.0399780273438,911.5999755859375,909.5,910.9199829101562,10518
2025-03-04 18:00:00+00:00,909.47998046875,910.1500244140625,908.219970703125,909.467529296875,18234
2025-03-04 18:05:00+00:00,912.0700073242188,912.5598754882812,909.5125122070312,909.5399780273438,17410
2025-03-04 18:10:00+00:00,914.3699951171875,914.7341918945312,911.25,912.6900024414062,24143
2025-03-04 18:15:00+00:00,911.9979248046875,914.0050048828125,911.9400024414062,914.0050048828125,10360
2025-03-04 18:20:00+00:00,911.97998046875,913.9099731445312,910.6699829101562,913.9099731445312,12657
2025-03-04 18:25:00+00:00,911.0599975585938,912.2150268554688,910.6500244140625,912.2150268554688,10541
2025-03-04 18:30:00+00:00,911.4899291992188,911.4899291992188,909.6599731445312,911.0599975585938,23545
2025-03-04 18:35:00+00:00,911.3900146484375,911.469970703125,910.451416015625,911.030029296875,12260
2025-03-04 18:40:00+00:00,912.385009765625,913.7000122070312,911.1674194335938,911.1674194335938,15507
2025-03-04 18:45:00+00:00,913.530029296875,914.3823852539062,912.280029296875,912.6799926757812,15169
2025-03-04 18:50:00+00:00,913.4849853515625,914.1298828125,912.9782104492188,913.97998046875,17065
2025-03-04 18:55:00+00:00,914.114990234375,914.9600219726562,913.344970703125,913.344970703125,24944
2025-03-04 19:00:00+00:00,915.3400268554688,916.4918212890625,913.75,914.114990234375,26303
2025-03-04 19:05:00+00:00,917.168212890625,917.3670043945312,915.5,915.5,18454
2025-03-04 19:10:00+00:00,916.0700073242188,917.2899780273438,915.8699951171875,917.2899780273438,13962
2025-03-04 19:15:00+00:00,916.3699951171875,917.4600219726562,916.0001220703125,916.52001953125,13512
2025-03-04 19:20:00+00:00,918.3499755859375,918.3499755859375,916.12939453125,916.5900268554688,24084
2025-03-04 19:25:00+00:00,915.1119995117188,918.540771484375,914.7100219726562,918.540771484375,18465
2025-03-04 19:30:00+00:00,915.4400024414062,915.5399780273438,913.3300170898438,915.1099853515625,29665
2025-03-04 19:35:00+00:00,915.27001953125,915.27001953125,913.4299926757812,914.4500122070312,19593
2025-03-04 19:40:00+00:00,915.8800048828125,916.3131103515625,914.7470092773438,915.52001953125,19529
2025-03-04 19:45:00+00:00,915.0401000976562,916.8800048828125,915.0,915.885009765625,31705
2025-03-04 19:50:00+00:00,915.32080078125,916.1599731445312,915.1074829101562,915.5999755859375,15206
2025-03-04 19:55:00+00:00,917.81201171875,917.9600219726562,916.0,916.0999755859375,46245
2025-03-04 20:00:00+00:00,917.2349853515625,919.47998046875,917.0150146484375,917.8300170898438,23746
2025-03-04 20:05:00+00:00,916.6699829101562,917.89990234375,916.1599731445312,917.1599731445312,24083
2025-03-04 20:10:00+00:00,916.97998046875,918.0,916.3400268554688,916.3499755859375,41252
2025-03-04 20:15:00+00:00,917.3099975585938,918.0579833984375,916.3099975585938,917.0599975585938,26334
2025-03-04 20:20:00+00:00,918.7949829101562,919.3300170898438,917.0001220703125,917.3099975585938,38145
2025-03-04 20:25:00+00:00,917.9199829101562,919.280029296875,917.9199829101562,918.7000122070312,29359
2025-03-04 20:30:00+00:00,915.9749755859375,918.47998046875,915.6900024414062,918.1799926757812,40451
2025-03-04 20:35:00+00:00,915.344970703125,917.2899169921875,914.2000732421875,916.3699951171875,45288
2025-03-04 20:40:00+00:00,915.6950073242188,916.739990234375,914.4099731445312,915.1300048828125,38767
2025-03-04 20:45:00+00:00,913.7899780273438,916.3900146484375,913.0900268554688,915.6950073242188,37985
2025-03-04 20:50:00+00:00,912.0029907226562,914.3300170898438,909.3400268554688,913.7899780273438,71171
2025-03-04 20:55:00+00:00,911.8099975585938,913.0850219726562,909.64501953125,912.010009765625,171921
2025-03-05 14:30:00+00:00,920.0,920.62158203125,901.6400146484375,904.7999877929688,171445
2025-03-05 14:35:00+00:00,918.3800048828125,922.325927734375,917.0,920.2000122070312,67157
2025-03-05 14:40:00+00:00,917.77001953125,921.5700073242188,916.6799926757812,919.1599731445312,45241
2025-03-05 14:45:00+00:00,919.5800170898438,920.9340209960938,917.0,918.125,25427
2025-03-05 14:50:00+00:00,916.9400024414062,919.97998046875,915.7999877929688,918.4481201171875,30102
2025-03-05 14:55:00+00:00,914.8300170898438,917.909912109375,913.4600830078125,917.909912109375,35214
2025-03-05 15:00:00+00:00,918.3599853515625,920.1599731445312,915.4400024414062,915.4400024414062,30464
2025-03-05 15:05:00+00:00,922.9099731445312,924.1400146484375,917.9600219726562,918.60498046875,36895
2025-03-05 15:10:00+00:00,921.2349853515625,923.35400390625,920.7401123046875,923.25,33327
2025-03-05 15:15:00+00:00,920.5150146484375,922.1900024414062,919.0001220703125,921.4550170898438,37290
2025-03-05 15:20:00+00:00,919.605224609375,920.3599853515625,917.6699829101562,919.7100219726562,18673
2025-03-05 15:25:00+00:00,918.8150024414062,920.0,916.0999755859375,918.9229736328125,32068
2025-03-05 15:30:00+00:00,919.9650268554688,920.8599853515625,917.956298828125,918.719970703125,22427
2025-03-05 15:35:00+00:00,920.1500244140625,921.3447265625,919.5399780273438,920.1749877929688,37212
2025-03-05 15:40:00+00:00,919.2349853515625,920.77001953125,918.72998046875,920.4099731445312,29245
2025-03-05 15:45:00+00:00,918.3900146484375,920.0,917.97998046875,919.18798828125,20542
2025-03-05 15:50:00+00:00,918.72998046875,919.0798950195312,917.719970703125,918.3619995117188,15165
2025-03-05 15:55:00+00:00,917.3001098632812,918.8900146484375,917.3001098632812,918.6500244140625,13764
2025-03-05 16:00:00+00:00,916.25,918.6298828125,916.114990234375,918.6298828125,14071
2025-03-05 16:05:00+00:00,915.5,916.5700073242188,914.469970703125,916.4000244140625,27705
2025-03-05 16:10:00+00:00,914.60498046875,916.22998046875,914.02001953125,915.7449951171875,12958
2025-03-05 16:15:00+00:00,913.6079711914062,915.3798828125,912.989990234375,914.6030883789062,11249
2025-03-05 16:20:00+00:00,915.9000244140625,916.3400268554688,912.5999755859375,913.489990234375,19285
2025-03-05 16:25:00+00:00,917.2000122070312,917.2000122070312,914.8150024414062,915.8900146484375,18524
2025-03-05 16:30:00+00:00,915.22998046875,917.1895751953125,915.1099853515625,917.0599975585938,24860
2025-03-05 16:35:00+00:00,916.5023803710938,917.4199829101562,915.2249755859375,915.3300170898438,11128
2025-03-05 16:40:00+00:00,914.3099975585938,916.6799926757812,913.8211059570312,916.6799926757812,11918
2025-03-05 16:45:00+00:00,914.9849853515625,915.7050170898438,914.1599731445312,914.364990234375,13339
