Date,Close,High,Low,Open,Volume
2023-03-06,60.876895904541016,61.94742491566484,60.76243722017749,61.0769591910807,24983000
2023-03-07,60.129547119140625,61.151984817239,59.97180730424519,61.06445758399644,19334000
2023-03-08,60.81341552734375,60.85861927717531,59.9871922485638,60.38250858059314,20912000
2023-03-09,59.87657928466797,61.79257252455633,59.815022197264085,60.60373224042814,21775000
2023-03-10,59.13692855834961,60.61142946619019,58.94359812647673,60.42194795772044,26098000
2023-03-13,59.29467010498047,60.0564487536441,58.372264026704784,58.39246261960566,22364000
2023-03-14,60.83264923095703,60.920180128495,59.48991807121892,59.960260887470376,25893000
2023-03-15,60.21514892578125,60.60277108460688,59.26869540386735,60.371927419822185,22963000
2023-03-16,61.22124099731445,61.27606522475778,59.42355523989226,59.812142407329034,31716000
2023-03-17,60.6893424987793,61.516527174592895,60.31518603361981,61.22124245492803,79303000
2023-03-20,61.91473388671875,62.01380056062366,60.74994095716954,60.85958941950192,25857000
2023-03-21,61.68609619140625,62.63935815608991,61.45165455458049,62.300291963704105,25000000
2023-03-22,61.121307373046875,62.82439531657066,61.097090470560566,61.700628305071625,25799000
2023-03-23,61.92634963989258,62.79339453741422,61.18040033651288,61.89437948654413,27162000
2023-03-24,61.629913330078125,61.933136458633925,60.89171351750382,61.8101043883864,17228000
2023-03-27,60.72604751586914,61.91375477984053,60.64370339937539,61.904068758418305,14707000
2023-03-28,60.51873779296875,60.69698868186623,59.952979508706754,60.57007999140663,12439000
2023-03-29,60.59623718261719,61.420657708255284,60.51292482934384,61.301498574164356,26395000
2023-03-30,61.39546203613281,61.61827747066849,60.96436204607883,61.29664688505309,21523000
2023-03-31,62.1501350402832,62.21601181399068,60.63595595535447,61.0844952605939,22097000
2023-04-03,62.240230560302734,62.378761731947634,61.656064794538885,61.90406907341413,15682000
2023-04-04,61.45940399169922,62.411701360201754,61.225930601980316,62.30610488303715,13429000
2023-04-05,60.9362678527832,61.196862830799425,60.61560550321052,61.14261224543897,16908000
2023-04-06,60.31916427612305,60.877172941526304,59.96362707507366,60.466416922115684,14493000
2023-04-10,60.779335021972656,60.82583605893638,59.71950828068353,59.87451050538109,15400000
2023-04-11,60.215511322021484,61.11743105738602,60.14285322749809,61.10774134049266,16518000
2023-04-12,59.743717193603516,60.791921307117434,59.70109278856449,60.77448573030331,14112000
2023-04-13,60.47416687011719,60.69310937547329,59.783436433226264,59.97331718042353,17265000
2023-04-14,60.01884841918945,60.84133242069351,59.59937459384394,60.10991401812665,17465000
2023-04-17,60.776424407958984,60.871362937984735,59.85125231317944,59.928755265756315,13201000
2023-04-18,61.25693130493164,61.564999264812506,60.75414511844725,61.1891180679194,16806000
2023-04-19,61.46812438964844,61.689971607040846,60.60107949122279,60.72120685289522,19060000
2023-04-20,61.324745178222656,62.265420108353545,60.755113981409636,60.82486368433327,20239000
2023-04-21,61.3131217956543,61.40031077080717,60.25619983978838,61.090306347051246,14807000
2023-04-24,61.47199249267578,61.889529832408776,61.205584423533146,61.3848035238278,12338000
2023-04-25,60.25910186767578,61.61246553998952,60.23197657418758,61.418711859840606,23670000
2023-04-26,59.694313049316406,60.36663600455477,59.434686290943226,60.0605082142032,17179000
2023-04-27,59.90938186645508,60.07213363856728,58.43879913067627,59.69431596886557,18250000
2023-04-28,60.693115234375,60.72024053008681,59.536409845029326,59.97332296984137,16183000
2023-05-01,61.80234146118164,61.90309307736814,60.66404369255198,60.693109146145005,17030000
2023-05-02,59.321346282958984,60.69311762682018,58.6122082449049,60.62142775866545,28357000
2023-05-03,59.404659271240234,60.25232850021974,59.32716000627385,59.76310122474195,19816000
2023-05-04,59.110145568847656,59.4782771880872,58.2508539738349,59.09464645715674,17684000
2023-05-05,61.04380416870117,61.17458578120478,59.42112398514631,59.671064723750305,24876000
2023-05-08,60.94111251831055,61.10289974671752,60.119600439450544,61.010865914600586,13934000
2023-05-09,59.919071197509766,60.457704170625526,59.662345430389045,60.3278870903823,16990000
2023-05-10,60.67082977294922,60.838426402224805,59.89581870134045,60.26298211357871,19174000
2023-05-11,60.80645751953125,60.884928708709516,59.8686946576149,60.70086473021267,14430000
2023-05-12,61.14358901977539,61.29374637393622,60.47126604458904,60.8752407692577,11942000
2023-05-15,61.981571197509766,62.00288340216786,60.88396124549033,61.21334142391436,14614000
2023-05-16,62.14044189453125,62.67036075281869,61.877910437896105,62.0455033652385,14967000
2023-05-17,63.69337844848633,64.02565961788838,62.44463925030105,62.712987503464745,24133000
2023-05-18,65.67256927490234,65.81400515705566,63.55097191388926,63.55097191388926,26389000
2023-05-19,66.09397888183594,66.35554952428612,65.7219779774799,65.8760082738535,22968000
2023-05-22,65.71809387207031,66.32938864120257,65.30637327871652,66.01163095788031,17796000
2023-05-23,66.50569915771484,67.71568681881263,66.07169445754771,66.9067691687821,36088000
2023-05-24,65.8304672241211,66.29353365300432,65.49430577167797,66.01549571452304,23021000
2023-05-25,70.60356903076172,70.95135668325854,66.91936288923627,67.75637405690506,49263000
2023-05-26,78.73442077636719,78.952391368857,72.36866837475078,72.40838069354119,82500000
2023-05-30,77.82474517822266,89.29879631278725,77.38589191897215,80.90348083877615,116912000
2023-05-31,78.2723159790039,79.60049460608745,76.54501117472984,77.0071094270609,89998000
2023-06-01,76.5275650024414,78.06208782950569,76.06352295804061,77.56123077772786,80792000
2023-06-02,78.6636962890625,79.8039343143333,76.26116380086974,76.59442059614973,62815000
2023-06-05,77.72399139404297,78.39243397894657,76.96641229089019,78.39243397894657,26222000
2023-06-06,76.53241729736328,77.69493207202699,75.21296014559537,77.69493207202699,37823000
2023-06-07,76.78720092773438,78.02915509156388,76.29119237005894,76.5149797474494,28957000
2023-06-08,77.90806579589844,77.98653698877214,76.41423060655279,77.00808244170618,21909000
2023-06-09,77.94873809814453,79.22072949316872,77.87705193944228,78.06305605016512,19241000
2023-06-12,82.86427307128906,83.12002693208542,78.57845389425351,78.57845389425351,51065000
2023-06-13,82.45350646972656,83.62958388263907,81.47311551921858,83.42323947043897,38990000
